m,n,sigma,index,heuristic,beam_width,length
10,100,2,0,h2,10,4
10,100,2,0,h5,10,6
10,100,2,0,h8,10,6
10,100,2,1,h2,10,3
10,100,2,1,h5,10,3
10,100,2,1,h8,10,3
10,100,2,2,h2,10,6
10,100,2,2,h5,10,6
10,100,2,2,h8,10,6
10,100,2,3,h2,10,4
10,100,2,3,h5,10,4
10,100,2,3,h8,10,4
10,100,2,4,h2,10,5
10,100,2,4,h5,10,5
10,100,2,4,h8,10,5
10,100,2,5,h2,10,5
10,100,2,5,h5,10,5
10,100,2,5,h8,10,5
10,100,2,6,h2,10,3
10,100,2,6,h5,10,3
10,100,2,6,h8,10,3
10,100,2,7,h2,10,4
10,100,2,7,h5,10,4
10,100,2,7,h8,10,4
10,100,2,8,h2,10,3
10,100,2,8,h5,10,3
10,100,2,8,h8,10,3
10,100,2,9,h2,10,4
10,100,2,9,h5,10,4
10,100,2,9,h8,10,4
10,200,2,0,h2,10,4
10,200,2,0,h5,10,4
10,200,2,0,h8,10,4
10,200,2,1,h2,10,5
10,200,2,1,h5,10,4
10,200,2,1,h8,10,4
10,200,2,2,h2,10,5
10,200,2,2,h5,10,5
10,200,2,2,h8,10,5
10,200,2,3,h2,10,5
10,200,2,3,h5,10,4
10,200,2,3,h8,10,4
10,200,2,4,h2,10,6
10,200,2,4,h5,10,6
10,200,2,4,h8,10,6
10,200,2,5,h2,10,7
10,200,2,5,h5,10,5
10,200,2,5,h8,10,7
10,200,2,6,h2,10,9
10,200,2,6,h5,10,7
10,200,2,6,h8,10,7
10,200,2,7,h2,10,4
10,200,2,7,h5,10,4
10,200,2,7,h8,10,4
10,200,2,8,h2,10,7
10,200,2,8,h5,10,5
10,200,2,8,h8,10,7
10,200,2,9,h2,10,6
10,200,2,9,h5,10,4
10,200,2,9,h8,10,4
10,50,2,0,h2,10,4
10,50,2,0,h5,10,4
10,50,2,0,h8,10,4
10,50,2,1,h2,10,3
10,50,2,1,h5,10,3
10,50,2,1,h8,10,3
10,50,2,2,h2,10,3
10,50,2,2,h5,10,3
10,50,2,2,h8,10,3
10,50,2,3,h2,10,6
10,50,2,3,h5,10,6
10,50,2,3,h8,10,6
10,50,2,4,h2,10,3
10,50,2,4,h5,10,3
10,50,2,4,h8,10,3
10,50,2,5,h2,10,5
10,50,2,5,h5,10,4
10,50,2,5,h8,10,5
10,50,2,6,h2,10,4
10,50,2,6,h5,10,4
10,50,2,6,h8,10,4
10,50,2,7,h2,10,3
10,50,2,7,h5,10,3
10,50,2,7,h8,10,3
10,50,2,8,h2,10,3
10,50,2,8,h5,10,3
10,50,2,8,h8,10,3
10,50,2,9,h2,10,5
10,50,2,9,h5,10,5
10,50,2,9,h8,10,5
2,100,2,0,h2,10,66
2,100,2,0,h5,10,71
2,100,2,0,h8,10,66
2,100,2,1,h2,10,19
2,100,2,1,h5,10,19
2,100,2,1,h8,10,18
2,100,2,2,h2,10,42
2,100,2,2,h5,10,42
2,100,2,2,h8,10,41
2,100,2,3,h2,10,43
2,100,2,3,h5,10,43
2,100,2,3,h8,10,36
2,100,2,4,h2,10,49
2,100,2,4,h5,10,49
2,100,2,4,h8,10,43
2,100,2,5,h2,10,46
2,100,2,5,h5,10,39
2,100,2,5,h8,10,45
2,100,2,6,h2,10,71
2,100,2,6,h5,10,73
2,100,2,6,h8,10,71
2,100,2,7,h2,10,49
2,100,2,7,h5,10,49
2,100,2,7,h8,10,49
2,100,2,8,h2,10,72
2,100,2,8,h5,10,69
2,100,2,8,h8,10,72
2,100,2,9,h2,10,47
2,100,2,9,h5,10,47
2,100,2,9,h8,10,48
2,200,2,0,h2,10,62
2,200,2,0,h5,10,93
2,200,2,0,h8,10,90
2,200,2,1,h2,10,76
2,200,2,1,h5,10,113
2,200,2,1,h8,10,108
2,200,2,2,h2,10,94
2,200,2,2,h5,10,96
2,200,2,2,h8,10,48
2,200,2,3,h2,10,53
2,200,2,3,h5,10,53
2,200,2,3,h8,10,51
2,200,2,4,h2,10,159
2,200,2,4,h5,10,159
2,200,2,4,h8,10,152
2,200,2,5,h2,10,60
2,200,2,5,h5,10,101
2,200,2,5,h8,10,133
2,200,2,6,h2,10,104
2,200,2,6,h5,10,104
2,200,2,6,h8,10,76
2,200,2,7,h2,10,73
2,200,2,7,h5,10,135
2,200,2,7,h8,10,95
2,200,2,8,h2,10,76
2,200,2,8,h5,10,138
2,200,2,8,h8,10,130
2,200,2,9,h2,10,86
2,200,2,9,h5,10,88
2,200,2,9,h8,10,84
2,50,2,0,h2,10,24
2,50,2,0,h5,10,24
2,50,2,0,h8,10,24
2,50,2,1,h2,10,34
2,50,2,1,h5,10,34
2,50,2,1,h8,10,29
2,50,2,2,h2,10,21
2,50,2,2,h5,10,36
2,50,2,2,h8,10,33
2,50,2,3,h2,10,38
2,50,2,3,h5,10,38
2,50,2,3,h8,10,36
2,50,2,4,h2,10,37
2,50,2,4,h5,10,37
2,50,2,4,h8,10,37
2,50,2,5,h2,10,36
2,50,2,5,h5,10,36
2,50,2,5,h8,10,33
2,50,2,6,h2,10,38
2,50,2,6,h5,10,38
2,50,2,6,h8,10,38
2,50,2,7,h2,10,26
2,50,2,7,h5,10,38
2,50,2,7,h8,10,36
2,50,2,8,h2,10,23
2,50,2,8,h5,10,20
2,50,2,8,h8,10,20
2,50,2,9,h2,10,38
2,50,2,9,h5,10,38
2,50,2,9,h8,10,35
3,100,2,0,h2,10,22
3,100,2,0,h5,10,37
3,100,2,0,h8,10,37
3,100,2,1,h2,10,38
3,100,2,1,h5,10,38
3,100,2,1,h8,10,29
3,100,2,2,h2,10,26
3,100,2,2,h5,10,26
3,100,2,2,h8,10,25
3,100,2,3,h2,10,36
3,100,2,3,h5,10,36
3,100,2,3,h8,10,33
3,100,2,4,h2,10,34
3,100,2,4,h5,10,36
3,100,2,4,h8,10,21
3,100,2,5,h2,10,30
3,100,2,5,h5,10,27
3,100,2,5,h8,10,30
3,100,2,6,h2,10,57
3,100,2,6,h5,10,57
3,100,2,6,h8,10,41
3,100,2,7,h2,10,35
3,100,2,7,h5,10,24
3,100,2,7,h8,10,22
3,100,2,8,h2,10,26
3,100,2,8,h5,10,24
3,100,2,8,h8,10,24
3,100,2,9,h2,10,26
3,100,2,9,h5,10,26
3,100,2,9,h8,10,30
3,200,2,0,h2,10,65
3,200,2,0,h5,10,48
3,200,2,0,h8,10,66
3,200,2,1,h2,10,62
3,200,2,1,h5,10,51
3,200,2,1,h8,10,70
3,200,2,2,h2,10,50
3,200,2,2,h5,10,42
3,200,2,2,h8,10,33
3,200,2,3,h2,10,40
3,200,2,3,h5,10,42
3,200,2,3,h8,10,39
3,200,2,4,h2,10,46
3,200,2,4,h5,10,46
3,200,2,4,h8,10,77
3,200,2,5,h2,10,27
3,200,2,5,h5,10,31
3,200,2,5,h8,10,27
3,200,2,6,h2,10,27
3,200,2,6,h5,10,27
3,200,2,6,h8,10,31
3,200,2,7,h2,10,22
3,200,2,7,h5,10,24
3,200,2,7,h8,10,26
3,200,2,8,h2,10,26
3,200,2,8,h5,10,27
3,200,2,8,h8,10,50
3,200,2,9,h2,10,47
3,200,2,9,h5,10,74
3,200,2,9,h8,10,42
3,50,2,0,h2,10,30
3,50,2,0,h5,10,30
3,50,2,0,h8,10,27
3,50,2,1,h2,10,17
3,50,2,1,h5,10,16
3,50,2,1,h8,10,17
3,50,2,2,h2,10,25
3,50,2,2,h5,10,32
3,50,2,2,h8,10,32
3,50,2,3,h2,10,21
3,50,2,3,h5,10,21
3,50,2,3,h8,10,19
3,50,2,4,h2,10,26
3,50,2,4,h5,10,26
3,50,2,4,h8,10,28
3,50,2,5,h2,10,16
3,50,2,5,h5,10,16
3,50,2,5,h8,10,16
3,50,2,6,h2,10,30
3,50,2,6,h5,10,30
3,50,2,6,h8,10,27
3,50,2,7,h2,10,19
3,50,2,7,h5,10,19
3,50,2,7,h8,10,19
3,50,2,8,h2,10,22
3,50,2,8,h5,10,24
3,50,2,8,h8,10,21
3,50,2,9,h2,10,16
3,50,2,9,h5,10,16
3,50,2,9,h8,10,11
5,100,2,0,h2,10,11
5,100,2,0,h5,10,11
5,100,2,0,h8,10,12
5,100,2,1,h2,10,19
5,100,2,1,h5,10,19
5,100,2,1,h8,10,19
5,100,2,2,h2,10,12
5,100,2,2,h5,10,12
5,100,2,2,h8,10,12
5,100,2,3,h2,10,25
5,100,2,3,h5,10,26
5,100,2,3,h8,10,19
5,100,2,4,h2,10,11
5,100,2,4,h5,10,11
5,100,2,4,h8,10,11
5,100,2,5,h2,10,10
5,100,2,5,h5,10,10
5,100,2,5,h8,10,10
5,100,2,6,h2,10,13
5,100,2,6,h5,10,13
5,100,2,6,h8,10,13
5,100,2,7,h2,10,15
5,100,2,7,h5,10,10
5,100,2,7,h8,10,15
5,100,2,8,h2,10,12
5,100,2,8,h5,10,11
5,100,2,8,h8,10,12
5,100,2,9,h2,10,14
5,100,2,9,h5,10,14
5,100,2,9,h8,10,14
5,200,2,0,h2,10,23
5,200,2,0,h5,10,17
5,200,2,0,h8,10,23
5,200,2,1,h2,10,19
5,200,2,1,h5,10,19
5,200,2,1,h8,10,17
5,200,2,2,h2,10,32
5,200,2,2,h5,10,32
5,200,2,2,h8,10,32
5,200,2,3,h2,10,19
5,200,2,3,h5,10,19
5,200,2,3,h8,10,18
5,200,2,4,h2,10,15
5,200,2,4,h5,10,24
5,200,2,4,h8,10,16
5,200,2,5,h2,10,18
5,200,2,5,h5,10,19
5,200,2,5,h8,10,17
5,200,2,6,h2,10,18
5,200,2,6,h5,10,17
5,200,2,6,h8,10,17
5,200,2,7,h2,10,23
5,200,2,7,h5,10,20
5,200,2,7,h8,10,20
5,200,2,8,h2,10,13
5,200,2,8,h5,10,13
5,200,2,8,h8,10,13
5,200,2,9,h2,10,21
5,200,2,9,h5,10,11
5,200,2,9,h8,10,20
5,50,2,0,h2,10,10
5,50,2,0,h5,10,10
5,50,2,0,h8,10,10
5,50,2,1,h2,10,16
5,50,2,1,h5,10,16
5,50,2,1,h8,10,18
5,50,2,2,h2,10,7
5,50,2,2,h5,10,7
5,50,2,2,h8,10,7
5,50,2,3,h2,10,5
5,50,2,3,h5,10,9
5,50,2,3,h8,10,5
5,50,2,4,h2,10,14
5,50,2,4,h5,10,14
5,50,2,4,h8,10,14
5,50,2,5,h2,10,6
5,50,2,5,h5,10,6
5,50,2,5,h8,10,6
5,50,2,6,h2,10,9
5,50,2,6,h5,10,8
5,50,2,6,h8,10,7
5,50,2,7,h2,10,7
5,50,2,7,h5,10,7
5,50,2,7,h8,10,7
5,50,2,8,h2,10,9
5,50,2,8,h5,10,9
5,50,2,8,h8,10,9
5,50,2,9,h2,10,11
5,50,2,9,h5,10,11
5,50,2,9,h8,10,11
10,100,4,0,h2,10,3
10,100,4,0,h5,10,3
10,100,4,0,h8,10,3
10,100,4,1,h2,10,4
10,100,4,1,h5,10,4
10,100,4,1,h8,10,4
10,100,4,2,h2,10,3
10,100,4,2,h5,10,3
10,100,4,2,h8,10,3
10,100,4,3,h2,10,4
10,100,4,3,h5,10,4
10,100,4,3,h8,10,3
10,100,4,4,h2,10,3
10,100,4,4,h5,10,3
10,100,4,4,h8,10,4
10,100,4,5,h2,10,4
10,100,4,5,h5,10,4
10,100,4,5,h8,10,4
10,100,4,6,h2,10,5
10,100,4,6,h5,10,5
10,100,4,6,h8,10,5
10,100,4,7,h2,10,4
10,100,4,7,h5,10,3
10,100,4,7,h8,10,5
10,100,4,8,h2,10,3
10,100,4,8,h5,10,3
10,100,4,8,h8,10,3
10,100,4,9,h2,10,3
10,100,4,9,h5,10,3
10,100,4,9,h8,10,3
10,200,4,0,h2,10,6
10,200,4,0,h5,10,6
10,200,4,0,h8,10,3
10,200,4,1,h2,10,4
10,200,4,1,h5,10,3
10,200,4,1,h8,10,3
10,200,4,2,h2,10,3
10,200,4,2,h5,10,3
10,200,4,2,h8,10,3
10,200,4,3,h2,10,3
10,200,4,3,h5,10,4
10,200,4,3,h8,10,3
10,200,4,4,h2,10,3
10,200,4,4,h5,10,3
10,200,4,4,h8,10,3
10,200,4,5,h2,10,4
10,200,4,5,h5,10,4
10,200,4,5,h8,10,4
10,200,4,6,h2,10,6
10,200,4,6,h5,10,3
10,200,4,6,h8,10,3
10,200,4,7,h2,10,3
10,200,4,7,h5,10,3
10,200,4,7,h8,10,3
10,200,4,8,h2,10,4
10,200,4,8,h5,10,4
10,200,4,8,h8,10,4
10,200,4,9,h2,10,4
10,200,4,9,h5,10,4
10,200,4,9,h8,10,4
10,50,4,0,h2,10,5
10,50,4,0,h5,10,5
10,50,4,0,h8,10,5
10,50,4,1,h2,10,2
10,50,4,1,h5,10,2
10,50,4,1,h8,10,2
10,50,4,2,h2,10,4
10,50,4,2,h5,10,4
10,50,4,2,h8,10,4
10,50,4,3,h2,10,3
10,50,4,3,h5,10,3
10,50,4,3,h8,10,3
10,50,4,4,h2,10,3
10,50,4,4,h5,10,3
10,50,4,4,h8,10,2
10,50,4,5,h2,10,2
10,50,4,5,h5,10,2
10,50,4,5,h8,10,2
10,50,4,6,h2,10,2
10,50,4,6,h5,10,2
10,50,4,6,h8,10,2
10,50,4,7,h2,10,2
10,50,4,7,h5,10,2
10,50,4,7,h8,10,2
10,50,4,8,h2,10,2
10,50,4,8,h5,10,2
10,50,4,8,h8,10,2
10,50,4,9,h2,10,4
10,50,4,9,h5,10,4
10,50,4,9,h8,10,4
2,100,4,0,h2,10,60
2,100,4,0,h5,10,61
2,100,4,0,h8,10,42
2,100,4,1,h2,10,59
2,100,4,1,h5,10,60
2,100,4,1,h8,10,43
2,100,4,2,h2,10,61
2,100,4,2,h5,10,63
2,100,4,2,h8,10,47
2,100,4,3,h2,10,60
2,100,4,3,h5,10,61
2,100,4,3,h8,10,44
2,100,4,4,h2,10,57
2,100,4,4,h5,10,59
2,100,4,4,h8,10,42
2,100,4,5,h2,10,58
2,100,4,5,h5,10,58
2,100,4,5,h8,10,32
2,100,4,6,h2,10,58
2,100,4,6,h5,10,60
2,100,4,6,h8,10,45
2,100,4,7,h2,10,57
2,100,4,7,h5,10,62
2,100,4,7,h8,10,51
2,100,4,8,h2,10,48
2,100,4,8,h5,10,50
2,100,4,8,h8,10,45
2,100,4,9,h2,10,33
2,100,4,9,h5,10,62
2,100,4,9,h8,10,52
2,200,4,0,h2,10,116
2,200,4,0,h5,10,114
2,200,4,0,h8,10,91
2,200,4,1,h2,10,117
2,200,4,1,h5,10,119
2,200,4,1,h8,10,97
2,200,4,2,h2,10,113
2,200,4,2,h5,10,116
2,200,4,2,h8,10,83
2,200,4,3,h2,10,112
2,200,4,3,h5,10,119
2,200,4,3,h8,10,90
2,200,4,4,h2,10,124
2,200,4,4,h5,10,83
2,200,4,4,h8,10,69
2,200,4,5,h2,10,50
2,200,4,5,h5,10,77
2,200,4,5,h8,10,64
2,200,4,6,h2,10,84
2,200,4,6,h5,10,93
2,200,4,6,h8,10,101
2,200,4,7,h2,10,82
2,200,4,7,h5,10,120
2,200,4,7,h8,10,105
2,200,4,8,h2,10,108
2,200,4,8,h5,10,127
2,200,4,8,h8,10,94
2,200,4,9,h2,10,76
2,200,4,9,h5,10,104
2,200,4,9,h8,10,94
2,50,4,0,h2,10,29
2,50,4,0,h5,10,29
2,50,4,0,h8,10,16
2,50,4,1,h2,10,15
2,50,4,1,h5,10,28
2,50,4,1,h8,10,22
2,50,4,2,h2,10,31
2,50,4,2,h5,10,31
2,50,4,2,h8,10,16
2,50,4,3,h2,10,30
2,50,4,3,h5,10,30
2,50,4,3,h8,10,22
2,50,4,4,h2,10,25
2,50,4,4,h5,10,25
2,50,4,4,h8,10,20
2,50,4,5,h2,10,28
2,50,4,5,h5,10,30
2,50,4,5,h8,10,19
2,50,4,6,h2,10,30
2,50,4,6,h5,10,30
2,50,4,6,h8,10,27
2,50,4,7,h2,10,18
2,50,4,7,h5,10,18
2,50,4,7,h8,10,15
2,50,4,8,h2,10,29
2,50,4,8,h5,10,29
2,50,4,8,h8,10,22
2,50,4,9,h2,10,26
2,50,4,9,h5,10,28
2,50,4,9,h8,10,27
3,100,4,0,h2,10,19
3,100,4,0,h5,10,19
3,100,4,0,h8,10,18
3,100,4,1,h2,10,28
3,100,4,1,h5,10,28
3,100,4,1,h8,10,38
3,100,4,2,h2,10,35
3,100,4,2,h5,10,30
3,100,4,2,h8,10,27
3,100,4,3,h2,10,24
3,100,4,3,h5,10,24
3,100,4,3,h8,10,23
3,100,4,4,h2,10,41
3,100,4,4,h5,10,41
3,100,4,4,h8,10,34
3,100,4,5,h2,10,33
3,100,4,5,h5,10,50
3,100,4,5,h8,10,40
3,100,4,6,h2,10,43
3,100,4,6,h5,10,46
3,100,4,6,h8,10,32
3,100,4,7,h2,10,16
3,100,4,7,h5,10,24
3,100,4,7,h8,10,14
3,100,4,8,h2,10,27
3,100,4,8,h5,10,30
3,100,4,8,h8,10,33
3,100,4,9,h2,10,29
3,100,4,9,h5,10,28
3,100,4,9,h8,10,26
3,200,4,0,h2,10,43
3,200,4,0,h5,10,42
3,200,4,0,h8,10,37
3,200,4,1,h2,10,56
3,200,4,1,h5,10,57
3,200,4,1,h8,10,81
3,200,4,2,h2,10,55
3,200,4,2,h5,10,85
3,200,4,2,h8,10,39
3,200,4,3,h2,10,58
3,200,4,3,h5,10,88
3,200,4,3,h8,10,35
3,200,4,4,h2,10,65
3,200,4,4,h5,10,93
3,200,4,4,h8,10,48
3,200,4,5,h2,10,53
3,200,4,5,h5,10,46
3,200,4,5,h8,10,42
3,200,4,6,h2,10,38
3,200,4,6,h5,10,36
3,200,4,6,h8,10,35
3,200,4,7,h2,10,73
3,200,4,7,h5,10,97
3,200,4,7,h8,10,82
3,200,4,8,h2,10,95
3,200,4,8,h5,10,51
3,200,4,8,h8,10,35
3,200,4,9,h2,10,59
3,200,4,9,h5,10,64
3,200,4,9,h8,10,57
3,50,4,0,h2,10,23
3,50,4,0,h5,10,23
3,50,4,0,h8,10,20
3,50,4,1,h2,10,21
3,50,4,1,h5,10,24
3,50,4,1,h8,10,16
3,50,4,2,h2,10,12
3,50,4,2,h5,10,12
3,50,4,2,h8,10,12
3,50,4,3,h2,10,21
3,50,4,3,h5,10,23
3,50,4,3,h8,10,18
3,50,4,4,h2,10,21
3,50,4,4,h5,10,21
3,50,4,4,h8,10,15
3,50,4,5,h2,10,13
3,50,4,5,h5,10,13
3,50,4,5,h8,10,19
3,50,4,6,h2,10,22
3,50,4,6,h5,10,25
3,50,4,6,h8,10,18
3,50,4,7,h2,10,21
3,50,4,7,h5,10,21
3,50,4,7,h8,10,16
3,50,4,8,h2,10,23
3,50,4,8,h5,10,23
3,50,4,8,h8,10,18
3,50,4,9,h2,10,23
3,50,4,9,h5,10,22
3,50,4,9,h8,10,19
5,100,4,0,h2,10,13
5,100,4,0,h5,10,13
5,100,4,0,h8,10,13
5,100,4,1,h2,10,8
5,100,4,1,h5,10,8
5,100,4,1,h8,10,8
5,100,4,2,h2,10,8
5,100,4,2,h5,10,4
5,100,4,2,h8,10,8
5,100,4,3,h2,10,9
5,100,4,3,h5,10,9
5,100,4,3,h8,10,9
5,100,4,4,h2,10,9
5,100,4,4,h5,10,9
5,100,4,4,h8,10,9
5,100,4,5,h2,10,12
5,100,4,5,h5,10,12
5,100,4,5,h8,10,12
5,100,4,6,h2,10,16
5,100,4,6,h5,10,13
5,100,4,6,h8,10,16
5,100,4,7,h2,10,18
5,100,4,7,h5,10,18
5,100,4,7,h8,10,18
5,100,4,8,h2,10,19
5,100,4,8,h5,10,19
5,100,4,8,h8,10,13
5,100,4,9,h2,10,13
5,100,4,9,h5,10,13
5,100,4,9,h8,10,13
5,200,4,0,h2,10,22
5,200,4,0,h5,10,21
5,200,4,0,h8,10,14
5,200,4,1,h2,10,15
5,200,4,1,h5,10,10
5,200,4,1,h8,10,9
5,200,4,2,h2,10,21
5,200,4,2,h5,10,21
5,200,4,2,h8,10,21
5,200,4,3,h2,10,17
5,200,4,3,h5,10,17
5,200,4,3,h8,10,17
5,200,4,4,h2,10,22
5,200,4,4,h5,10,19
5,200,4,4,h8,10,20
5,200,4,5,h2,10,15
5,200,4,5,h5,10,15
5,200,4,5,h8,10,12
5,200,4,6,h2,10,15
5,200,4,6,h5,10,12
5,200,4,6,h8,10,16
5,200,4,7,h2,10,18
5,200,4,7,h5,10,18
5,200,4,7,h8,10,12
5,200,4,8,h2,10,9
5,200,4,8,h5,10,9
5,200,4,8,h8,10,9
5,200,4,9,h2,10,16
5,200,4,9,h5,10,13
5,200,4,9,h8,10,12
5,50,4,0,h2,10,11
5,50,4,0,h5,10,11
5,50,4,0,h8,10,11
5,50,4,1,h2,10,15
5,50,4,1,h5,10,15
5,50,4,1,h8,10,15
5,50,4,2,h2,10,10
5,50,4,2,h5,10,10
5,50,4,2,h8,10,10
5,50,4,3,h2,10,8
5,50,4,3,h5,10,8
5,50,4,3,h8,10,8
5,50,4,4,h2,10,15
5,50,4,4,h5,10,17
5,50,4,4,h8,10,12
5,50,4,5,h2,10,10
5,50,4,5,h5,10,10
5,50,4,5,h8,10,10
5,50,4,6,h2,10,10
5,50,4,6,h5,10,10
5,50,4,6,h8,10,5
5,50,4,7,h2,10,5
5,50,4,7,h5,10,5
5,50,4,7,h8,10,5
5,50,4,8,h2,10,7
5,50,4,8,h5,10,7
5,50,4,8,h8,10,7
5,50,4,9,h2,10,9
5,50,4,9,h5,10,9
5,50,4,9,h8,10,9
10,100,2,0,h2,100,4
10,100,2,0,h5,100,6
10,100,2,0,h8,100,6
10,100,2,1,h2,100,3
10,100,2,1,h5,100,3
10,100,2,1,h8,100,3
10,100,2,2,h2,100,6
10,100,2,2,h5,100,6
10,100,2,2,h8,100,6
10,100,2,3,h2,100,4
10,100,2,3,h5,100,4
10,100,2,3,h8,100,4
10,100,2,4,h2,100,5
10,100,2,4,h5,100,5
10,100,2,4,h8,100,5
10,100,2,5,h2,100,5
10,100,2,5,h5,100,5
10,100,2,5,h8,100,5
10,100,2,6,h2,100,3
10,100,2,6,h5,100,3
10,100,2,6,h8,100,3
10,100,2,7,h2,100,4
10,100,2,7,h5,100,4
10,100,2,7,h8,100,4
10,100,2,8,h2,100,3
10,100,2,8,h5,100,3
10,100,2,8,h8,100,3
10,100,2,9,h2,100,4
10,100,2,9,h5,100,4
10,100,2,9,h8,100,4
10,200,2,0,h2,100,4
10,200,2,0,h5,100,4
10,200,2,0,h8,100,4
10,200,2,1,h2,100,5
10,200,2,1,h5,100,4
10,200,2,1,h8,100,4
10,200,2,2,h2,100,5
10,200,2,2,h5,100,5
10,200,2,2,h8,100,5
10,200,2,3,h2,100,5
10,200,2,3,h5,100,4
