m,n,sigma,index,heuristic,beam_width,length
10,200,2,3,h8,100,4
10,200,2,4,h2,100,6
10,200,2,4,h5,100,6
10,200,2,4,h8,100,6
10,200,2,5,h2,100,7
10,200,2,5,h5,100,5
10,200,2,5,h8,100,7
10,200,2,6,h2,100,9
10,200,2,6,h5,100,7
10,200,2,6,h8,100,7
10,200,2,7,h2,100,4
10,200,2,7,h5,100,4
10,200,2,7,h8,100,4
10,200,2,8,h2,100,7
10,200,2,8,h5,100,5
10,200,2,8,h8,100,7
10,200,2,9,h2,100,6
10,200,2,9,h5,100,4
10,200,2,9,h8,100,4
10,50,2,0,h2,100,4
10,50,2,0,h5,100,4
10,50,2,0,h8,100,4
10,50,2,1,h2,100,3
10,50,2,1,h5,100,3
10,50,2,1,h8,100,3
10,50,2,2,h2,100,3
10,50,2,2,h5,100,3
10,50,2,2,h8,100,3
10,50,2,3,h2,100,6
10,50,2,3,h5,100,6
10,50,2,3,h8,100,6
10,50,2,4,h2,100,3
10,50,2,4,h5,100,3
10,50,2,4,h8,100,3
10,50,2,5,h2,100,5
10,50,2,5,h5,100,4
10,50,2,5,h8,100,5
10,50,2,6,h2,100,4
10,50,2,6,h5,100,4
10,50,2,6,h8,100,4
10,50,2,7,h2,100,3
10,50,2,7,h5,100,3
10,50,2,7,h8,100,3
10,50,2,8,h2,100,3
10,50,2,8,h5,100,3
10,50,2,8,h8,100,3
10,50,2,9,h2,100,5
10,50,2,9,h5,100,5
10,50,2,9,h8,100,5
2,100,2,0,h2,100,71
2,100,2,0,h5,100,71
2,100,2,0,h8,100,66
2,100,2,1,h2,100,19
2,100,2,1,h5,100,33
2,100,2,1,h8,100,19
2,100,2,2,h2,100,70
2,100,2,2,h5,100,70
2,100,2,2,h8,100,66
2,100,2,3,h2,100,43
2,100,2,3,h5,100,78
2,100,2,3,h8,100,71
2,100,2,4,h2,100,52
2,100,2,4,h5,100,52
2,100,2,4,h8,100,45
2,100,2,5,h2,100,62
2,100,2,5,h5,100,62
2,100,2,5,h8,100,60
2,100,2,6,h2,100,71
2,100,2,6,h5,100,74
2,100,2,6,h8,100,68
2,100,2,7,h2,100,51
2,100,2,7,h5,100,51
2,100,2,7,h8,100,51
2,100,2,8,h2,100,72
2,100,2,8,h5,100,72
2,100,2,8,h8,100,71
2,100,2,9,h2,100,62
2,100,2,9,h5,100,62
2,100,2,9,h8,100,62
2,200,2,0,h2,100,86
2,200,2,0,h5,100,93
2,200,2,0,h8,100,82
2,200,2,1,h2,100,110
2,200,2,1,h5,100,113
2,200,2,1,h8,100,110
2,200,2,2,h2,100,96
2,200,2,2,h5,100,96
2,200,2,2,h8,100,47
2,200,2,3,h2,100,55
2,200,2,3,h5,100,90
2,200,2,3,h8,100,46
2,200,2,4,h2,100,158
2,200,2,4,h5,100,159
2,200,2,4,h8,100,152
2,200,2,5,h2,100,99
2,200,2,5,h5,100,102
2,200,2,5,h8,100,134
2,200,2,6,h2,100,104
2,200,2,6,h5,100,143
2,200,2,6,h8,100,99
2,200,2,7,h2,100,75
2,200,2,7,h5,100,155
2,200,2,7,h8,100,138
2,200,2,8,h2,100,76
2,200,2,8,h5,100,138
2,200,2,8,h8,100,132
2,200,2,9,h2,100,86
2,200,2,9,h5,100,88
2,200,2,9,h8,100,101
2,50,2,0,h2,100,24
2,50,2,0,h5,100,24
2,50,2,0,h8,100,24
2,50,2,1,h2,100,34
2,50,2,1,h5,100,34
2,50,2,1,h8,100,29
2,50,2,2,h2,100,36
2,50,2,2,h5,100,36
2,50,2,2,h8,100,36
2,50,2,3,h2,100,38
2,50,2,3,h5,100,38
2,50,2,3,h8,100,38
2,50,2,4,h2,100,37
2,50,2,4,h5,100,37
2,50,2,4,h8,100,37
2,50,2,5,h2,100,36
2,50,2,5,h5,100,36
2,50,2,5,h8,100,36
2,50,2,6,h2,100,38
2,50,2,6,h5,100,38
2,50,2,6,h8,100,38
2,50,2,7,h2,100,38
2,50,2,7,h5,100,38
2,50,2,7,h8,100,38
2,50,2,8,h2,100,20
2,50,2,8,h5,100,20
2,50,2,8,h8,100,20
2,50,2,9,h2,100,38
2,50,2,9,h5,100,38
2,50,2,9,h8,100,37
3,100,2,0,h2,100,37
3,100,2,0,h5,100,37
3,100,2,0,h8,100,37
3,100,2,1,h2,100,32
3,100,2,1,h5,100,32
3,100,2,1,h8,100,42
3,100,2,2,h2,100,27
3,100,2,2,h5,100,27
3,100,2,2,h8,100,27
3,100,2,3,h2,100,42
3,100,2,3,h5,100,42
3,100,2,3,h8,100,33
3,100,2,4,h2,100,48
3,100,2,4,h5,100,48
3,100,2,4,h8,100,47
3,100,2,5,h2,100,30
3,100,2,5,h5,100,30
3,100,2,5,h8,100,35
3,100,2,6,h2,100,57
3,100,2,6,h5,100,57
3,100,2,6,h8,100,53
3,100,2,7,h2,100,35
3,100,2,7,h5,100,35
3,100,2,7,h8,100,24
3,100,2,8,h2,100,26
3,100,2,8,h5,100,26
3,100,2,8,h8,100,26
3,100,2,9,h2,100,42
3,100,2,9,h5,100,42
3,100,2,9,h8,100,38
3,200,2,0,h2,100,68
3,200,2,0,h5,100,69
3,200,2,0,h8,100,66
3,200,2,1,h2,100,62
3,200,2,1,h5,100,74
3,200,2,1,h8,100,81
3,200,2,2,h2,100,88
3,200,2,2,h5,100,90
3,200,2,2,h8,100,33
3,200,2,3,h2,100,40
3,200,2,3,h5,100,40
3,200,2,3,h8,100,40
3,200,2,4,h2,100,91
3,200,2,4,h5,100,87
3,200,2,4,h8,100,76
3,200,2,5,h2,100,36
3,200,2,5,h5,100,31
3,200,2,5,h8,100,36
3,200,2,6,h2,100,24
3,200,2,6,h5,100,24
3,200,2,6,h8,100,24
3,200,2,7,h2,100,27
3,200,2,7,h5,100,27
3,200,2,7,h8,100,27
3,200,2,8,h2,100,60
3,200,2,8,h5,100,50
3,200,2,8,h8,100,50
3,200,2,9,h2,100,76
3,200,2,9,h5,100,76
3,200,2,9,h8,100,42
3,50,2,0,h2,100,30
3,50,2,0,h5,100,30
3,50,2,0,h8,100,27
3,50,2,1,h2,100,17
3,50,2,1,h5,100,17
3,50,2,1,h8,100,17
3,50,2,2,h2,100,32
3,50,2,2,h5,100,32
3,50,2,2,h8,100,33
3,50,2,3,h2,100,21
3,50,2,3,h5,100,21
3,50,2,3,h8,100,21
3,50,2,4,h2,100,33
3,50,2,4,h5,100,33
3,50,2,4,h8,100,33
3,50,2,5,h2,100,16
3,50,2,5,h5,100,16
3,50,2,5,h8,100,16
3,50,2,6,h2,100,30
3,50,2,6,h5,100,30
3,50,2,6,h8,100,30
3,50,2,7,h2,100,19
3,50,2,7,h5,100,19
3,50,2,7,h8,100,19
3,50,2,8,h2,100,24
3,50,2,8,h5,100,24
3,50,2,8,h8,100,22
3,50,2,9,h2,100,12
3,50,2,9,h5,100,12
3,50,2,9,h8,100,12
5,100,2,0,h2,100,11
5,100,2,0,h5,100,11
5,100,2,0,h8,100,12
5,100,2,1,h2,100,19
5,100,2,1,h5,100,19
5,100,2,1,h8,100,19
5,100,2,2,h2,100,12
5,100,2,2,h5,100,12
5,100,2,2,h8,100,12
5,100,2,3,h2,100,25
5,100,2,3,h5,100,26
5,100,2,3,h8,100,19
5,100,2,4,h2,100,11
5,100,2,4,h5,100,11
5,100,2,4,h8,100,11
5,100,2,5,h2,100,10
5,100,2,5,h5,100,10
5,100,2,5,h8,100,10
5,100,2,6,h2,100,13
5,100,2,6,h5,100,13
5,100,2,6,h8,100,13
5,100,2,7,h2,100,15
5,100,2,7,h5,100,10
5,100,2,7,h8,100,15
5,100,2,8,h2,100,12
5,100,2,8,h5,100,11
5,100,2,8,h8,100,12
5,100,2,9,h2,100,14
5,100,2,9,h5,100,14
5,100,2,9,h8,100,14
5,200,2,0,h2,100,23
5,200,2,0,h5,100,17
5,200,2,0,h8,100,23
5,200,2,1,h2,100,19
5,200,2,1,h5,100,19
5,200,2,1,h8,100,17
5,200,2,2,h2,100,32
5,200,2,2,h5,100,32
5,200,2,2,h8,100,32
5,200,2,3,h2,100,22
5,200,2,3,h5,100,22
5,200,2,3,h8,100,22
5,200,2,4,h2,100,15
5,200,2,4,h5,100,24
5,200,2,4,h8,100,16
5,200,2,5,h2,100,18
5,200,2,5,h5,100,22
5,200,2,5,h8,100,18
5,200,2,6,h2,100,18
5,200,2,6,h5,100,19
5,200,2,6,h8,100,18
5,200,2,7,h2,100,20
5,200,2,7,h5,100,20
5,200,2,7,h8,100,18
5,200,2,8,h2,100,13
5,200,2,8,h5,100,13
5,200,2,8,h8,100,13
5,200,2,9,h2,100,21
5,200,2,9,h5,100,11
5,200,2,9,h8,100,21
5,50,2,0,h2,100,10
5,50,2,0,h5,100,10
5,50,2,0,h8,100,10
5,50,2,1,h2,100,18
5,50,2,1,h5,100,18
5,50,2,1,h8,100,18
5,50,2,2,h2,100,7
5,50,2,2,h5,100,7
5,50,2,2,h8,100,7
5,50,2,3,h2,100,5
5,50,2,3,h5,100,9
5,50,2,3,h8,100,5
5,50,2,4,h2,100,14
5,50,2,4,h5,100,14
5,50,2,4,h8,100,14
5,50,2,5,h2,100,6
5,50,2,5,h5,100,6
5,50,2,5,h8,100,6
5,50,2,6,h2,100,9
5,50,2,6,h5,100,8
5,50,2,6,h8,100,7
5,50,2,7,h2,100,7
5,50,2,7,h5,100,7
5,50,2,7,h8,100,7
5,50,2,8,h2,100,9
5,50,2,8,h5,100,9
5,50,2,8,h8,100,9
5,50,2,9,h2,100,11
5,50,2,9,h5,100,11
5,50,2,9,h8,100,11
10,100,4,0,h2,100,3
10,100,4,0,h5,100,3
10,100,4,0,h8,100,3
10,100,4,1,h2,100,4
10,100,4,1,h5,100,4
10,100,4,1,h8,100,4
10,100,4,2,h2,100,3
10,100,4,2,h5,100,3
10,100,4,2,h8,100,3
10,100,4,3,h2,100,4
10,100,4,3,h5,100,4
10,100,4,3,h8,100,3
10,100,4,4,h2,100,3
10,100,4,4,h5,100,3
10,100,4,4,h8,100,4
10,100,4,5,h2,100,4
10,100,4,5,h5,100,4
10,100,4,5,h8,100,4
10,100,4,6,h2,100,5
10,100,4,6,h5,100,5
10,100,4,6,h8,100,5
10,100,4,7,h2,100,4
10,100,4,7,h5,100,3
10,100,4,7,h8,100,5
10,100,4,8,h2,100,3
10,100,4,8,h5,100,3
10,100,4,8,h8,100,3
10,100,4,9,h2,100,3
10,100,4,9,h5,100,3
10,100,4,9,h8,100,3
10,200,4,0,h2,100,6
10,200,4,0,h5,100,6
10,200,4,0,h8,100,3
10,200,4,1,h2,100,4
10,200,4,1,h5,100,3
10,200,4,1,h8,100,3
10,200,4,2,h2,100,3
10,200,4,2,h5,100,3
10,200,4,2,h8,100,3
10,200,4,3,h2,100,3
10,200,4,3,h5,100,4
10,200,4,3,h8,100,3
10,200,4,4,h2,100,3
10,200,4,4,h5,100,3
10,200,4,4,h8,100,3
10,200,4,5,h2,100,4
10,200,4,5,h5,100,4
10,200,4,5,h8,100,4
10,200,4,6,h2,100,6
10,200,4,6,h5,100,3
10,200,4,6,h8,100,3
10,200,4,7,h2,100,3
10,200,4,7,h5,100,3
10,200,4,7,h8,100,3
10,200,4,8,h2,100,4
10,200,4,8,h5,100,4
10,200,4,8,h8,100,4
10,200,4,9,h2,100,4
10,200,4,9,h5,100,4
10,200,4,9,h8,100,4
10,50,4,0,h2,100,5
10,50,4,0,h5,100,5
10,50,4,0,h8,100,5
10,50,4,1,h2,100,2
10,50,4,1,h5,100,2
10,50,4,1,h8,100,2
10,50,4,2,h2,100,4
10,50,4,2,h5,100,4
10,50,4,2,h8,100,4
10,50,4,3,h2,100,3
10,50,4,3,h5,100,3
10,50,4,3,h8,100,3
10,50,4,4,h2,100,3
10,50,4,4,h5,100,3
10,50,4,4,h8,100,2
10,50,4,5,h2,100,2
10,50,4,5,h5,100,2
10,50,4,5,h8,100,2
10,50,4,6,h2,100,2
10,50,4,6,h5,100,2
10,50,4,6,h8,100,2
10,50,4,7,h2,100,2
10,50,4,7,h5,100,2
10,50,4,7,h8,100,2
10,50,4,8,h2,100,2
10,50,4,8,h5,100,2
10,50,4,8,h8,100,2
10,50,4,9,h2,100,4
10,50,4,9,h5,100,4
10,50,4,9,h8,100,4
2,100,4,0,h2,100,61
2,100,4,0,h5,100,61
2,100,4,0,h8,100,43
2,100,4,1,h2,100,61
2,100,4,1,h5,100,60
2,100,4,1,h8,100,44
2,100,4,2,h2,100,61
2,100,4,2,h5,100,64
2,100,4,2,h8,100,43
2,100,4,3,h2,100,61
2,100,4,3,h5,100,61
2,100,4,3,h8,100,49
2,100,4,4,h2,100,59
2,100,4,4,h5,100,62
2,100,4,4,h8,100,41
2,100,4,5,h2,100,60
2,100,4,5,h5,100,60
2,100,4,5,h8,100,31
2,100,4,6,h2,100,60
2,100,4,6,h5,100,60
2,100,4,6,h8,100,39
2,100,4,7,h2,100,58
2,100,4,7,h5,100,62
2,100,4,7,h8,100,43
2,100,4,8,h2,100,57
2,100,4,8,h5,100,62
2,100,4,8,h8,100,44
2,100,4,9,h2,100,61
2,100,4,9,h5,100,62
2,100,4,9,h8,100,44
2,200,4,0,h2,100,117
2,200,4,0,h5,100,114
2,200,4,0,h8,100,94
2,200,4,1,h2,100,119
2,200,4,1,h5,100,116
2,200,4,1,h8,100,95
2,200,4,2,h2,100,121
2,200,4,2,h5,100,123
2,200,4,2,h8,100,102
2,200,4,3,h2,100,117
2,200,4,3,h5,100,119
2,200,4,3,h8,100,107
2,200,4,4,h2,100,124
2,200,4,4,h5,100,83
2,200,4,4,h8,100,69
2,200,4,5,h2,100,51
2,200,4,5,h5,100,77
2,200,4,5,h8,100,63
2,200,4,6,h2,100,86
2,200,4,6,h5,100,93
2,200,4,6,h8,100,96
2,200,4,7,h2,100,121
2,200,4,7,h5,100,120
2,200,4,7,h8,100,106
2,200,4,8,h2,100,110
2,200,4,8,h5,100,129
2,200,4,8,h8,100,79
2,200,4,9,h2,100,76
2,200,4,9,h5,100,104
2,200,4,9,h8,100,93
2,50,4,0,h2,100,29
2,50,4,0,h5,100,29
2,50,4,0,h8,100,20
2,50,4,1,h2,100,31
2,50,4,1,h5,100,31
2,50,4,1,h8,100,22
2,50,4,2,h2,100,31
2,50,4,2,h5,100,31
2,50,4,2,h8,100,20
2,50,4,3,h2,100,30
2,50,4,3,h5,100,30
2,50,4,3,h8,100,22
2,50,4,4,h2,100,32
2,50,4,4,h5,100,32
2,50,4,4,h8,100,21
2,50,4,5,h2,100,28
2,50,4,5,h5,100,30
2,50,4,5,h8,100,23
2,50,4,6,h2,100,30
2,50,4,6,h5,100,30
2,50,4,6,h8,100,26
2,50,4,7,h2,100,30
2,50,4,7,h5,100,30
2,50,4,7,h8,100,20
2,50,4,8,h2,100,30
2,50,4,8,h5,100,30
2,50,4,8,h8,100,24
2,50,4,9,h2,100,28
2,50,4,9,h5,100,28
2,50,4,9,h8,100,27
3,100,4,0,h2,100,19
3,100,4,0,h5,100,19
3,100,4,0,h8,100,19
3,100,4,1,h2,100,44
3,100,4,1,h5,100,44
3,100,4,1,h8,100,39
3,100,4,2,h2,100,47
3,100,4,2,h5,100,30
3,100,4,2,h8,100,36
3,100,4,3,h2,100,27
3,100,4,3,h5,100,27
3,100,4,3,h8,100,24
3,100,4,4,h2,100,43
3,100,4,4,h5,100,43
3,100,4,4,h8,100,40
3,100,4,5,h2,100,49
3,100,4,5,h5,100,50
3,100,4,5,h8,100,44
3,100,4,6,h2,100,44
3,100,4,6,h5,100,47
3,100,4,6,h8,100,31
3,100,4,7,h2,100,24
3,100,4,7,h5,100,24
3,100,4,7,h8,100,23
3,100,4,8,h2,100,30
3,100,4,8,h5,100,30
3,100,4,8,h8,100,33
3,100,4,9,h2,100,29
3,100,4,9,h5,100,29
3,100,4,9,h8,100,23
3,200,4,0,h2,100,84
3,200,4,0,h5,100,85
3,200,4,0,h8,100,81
3,200,4,1,h2,100,58
3,200,4,1,h5,100,93
3,200,4,1,h8,100,78
3,200,4,2,h2,100,94
3,200,4,2,h5,100,98
3,200,4,2,h8,100,86
3,200,4,3,h2,100,61
3,200,4,3,h5,100,90
3,200,4,3,h8,100,85
3,200,4,4,h2,100,93
3,200,4,4,h5,100,98
3,200,4,4,h8,100,48
3,200,4,5,h2,100,46
3,200,4,5,h5,100,46
3,200,4,5,h8,100,47
3,200,4,6,h2,100,38
3,200,4,6,h5,100,41
3,200,4,6,h8,100,40
3,200,4,7,h2,100,99
3,200,4,7,h5,100,99
3,200,4,7,h8,100,56
3,200,4,8,h2,100,97
3,200,4,8,h5,100,47
3,200,4,8,h8,100,39
3,200,4,9,h2,100,60
3,200,4,9,h5,100,65
3,200,4,9,h8,100,53
3,50,4,0,h2,100,23
3,50,4,0,h5,100,23
3,50,4,0,h8,100,20
3,50,4,1,h2,100,24
3,50,4,1,h5,100,24
3,50,4,1,h8,100,16
3,50,4,2,h2,100,12
3,50,4,2,h5,100,12
3,50,4,2,h8,100,12
3,50,4,3,h2,100,23
3,50,4,3,h5,100,23
3,50,4,3,h8,100,23
3,50,4,4,h2,100,22
3,50,4,4,h5,100,22
3,50,4,4,h8,100,19
3,50,4,5,h2,100,20
3,50,4,5,h5,100,20
3,50,4,5,h8,100,20
3,50,4,6,h2,100,25
3,50,4,6,h5,100,25
3,50,4,6,h8,100,19
3,50,4,7,h2,100,21
3,50,4,7,h5,100,21
3,50,4,7,h8,100,17
3,50,4,8,h2,100,24
3,50,4,8,h5,100,24
3,50,4,8,h8,100,20
3,50,4,9,h2,100,23
3,50,4,9,h5,100,23
3,50,4,9,h8,100,22
5,100,4,0,h2,100,13
5,100,4,0,h5,100,13
5,100,4,0,h8,100,13
5,100,4,1,h2,100,8
5,100,4,1,h5,100,8
5,100,4,1,h8,100,8
5,100,4,2,h2,100,8
5,100,4,2,h5,100,4
5,100,4,2,h8,100,8
5,100,4,3,h2,100,9
5,100,4,3,h5,100,9
5,100,4,3,h8,100,9
5,100,4,4,h2,100,9
5,100,4,4,h5,100,9
5,100,4,4,h8,100,9
5,100,4,5,h2,100,12
5,100,4,5,h5,100,12
5,100,4,5,h8,100,12
5,100,4,6,h2,100,16
5,100,4,6,h5,100,16
5,100,4,6,h8,100,16
5,100,4,7,h2,100,18
5,100,4,7,h5,100,18
5,100,4,7,h8,100,18
5,100,4,8,h2,100,19
5,100,4,8,h5,100,19
5,100,4,8,h8,100,19
5,100,4,9,h2,100,13
5,100,4,9,h5,100,13
5,100,4,9,h8,100,13
5,200,4,0,h2,100,22
5,200,4,0,h5,100,21
5,200,4,0,h8,100,21
5,200,4,1,h2,100,15
5,200,4,1,h5,100,10
5,200,4,1,h8,100,9
5,200,4,2,h2,100,21
5,200,4,2,h5,100,21
5,200,4,2,h8,100,21
5,200,4,3,h2,100,17
5,200,4,3,h5,100,17
5,200,4,3,h8,100,17
5,200,4,4,h2,100,20
5,200,4,4,h5,100,20
5,200,4,4,h8,100,20
5,200,4,5,h2,100,15
5,200,4,5,h5,100,15
5,200,4,5,h8,100,15
5,200,4,6,h2,100,16
5,200,4,6,h5,100,14
5,200,4,6,h8,100,16
5,200,4,7,h2,100,18
5,200,4,7,h5,100,18
5,200,4,7,h8,100,12
5,200,4,8,h2,100,9
5,200,4,8,h5,100,9
5,200,4,8,h8,100,9
5,200,4,9,h2,100,16
5,200,4,9,h5,100,13
5,200,4,9,h8,100,12
5,50,4,0,h2,100,11
5,50,4,0,h5,100,11
5,50,4,0,h8,100,11
5,50,4,1,h2,100,15
5,50,4,1,h5,100,15
5,50,4,1,h8,100,15
5,50,4,2,h2,100,10
5,50,4,2,h5,100,10
5,50,4,2,h8,100,10
5,50,4,3,h2,100,8
5,50,4,3,h5,100,8
5,50,4,3,h8,100,8
5,50,4,4,h2,100,17
5,50,4,4,h5,100,17
5,50,4,4,h8,100,17
5,50,4,5,h2,100,10
5,50,4,5,h5,100,10
5,50,4,5,h8,100,10
5,50,4,6,h2,100,10
5,50,4,6,h5,100,10
5,50,4,6,h8,100,5
5,50,4,7,h2,100,5
5,50,4,7,h5,100,5
5,50,4,7,h8,100,5
5,50,4,8,h2,100,7
5,50,4,8,h5,100,7
5,50,4,8,h8,100,7
5,50,4,9,h2,100,9
5,50,4,9,h5,100,9
5,50,4,9,h8,100,9
10,100,2,0,h2,500,4
10,100,2,0,h5,500,6
10,100,2,0,h8,500,6
10,100,2,1,h2,500,3
10,100,2,1,h5,500,3
10,100,2,1,h8,500,3
10,100,2,2,h2,500,6
10,100,2,2,h5,500,6
10,100,2,2,h8,500,6
10,100,2,3,h2,500,4
10,100,2,3,h5,500,4
10,100,2,3,h8,500,4
10,100,2,4,h2,500,5
10,100,2,4,h5,500,5
10,100,2,4,h8,500,5
10,100,2,5,h2,500,5
10,100,2,5,h5,500,5
10,100,2,5,h8,500,5
10,100,2,6,h2,500,3
10,100,2,6,h5,500,3
10,100,2,6,h8,500,3
10,100,2,7,h2,500,4
10,100,2,7,h5,500,4
10,100,2,7,h8,500,4
10,100,2,8,h2,500,3
10,100,2,8,h5,500,3
10,100,2,8,h8,500,3
10,100,2,9,h2,500,4
10,100,2,9,h5,500,4
10,100,2,9,h8,500,4
10,200,2,0,h2,500,4
10,200,2,0,h5,500,4
10,200,2,0,h8,500,4
10,200,2,1,h2,500,5
10,200,2,1,h5,500,4
10,200,2,1,h8,500,4
10,200,2,2,h2,500,5
10,200,2,2,h5,500,5
10,200,2,2,h8,500,5
10,200,2,3,h2,500,5
10,200,2,3,h5,500,4
10,200,2,3,h8,500,4
10,200,2,4,h2,500,6
10,200,2,4,h5,500,6
10,200,2,4,h8,500,6
10,200,2,5,h2,500,7
10,200,2,5,h5,500,5
10,200,2,5,h8,500,7
10,200,2,6,h2,500,9
